Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
37.0,Yes,Travel_Frequently,Research & Development,8.0,College,Medical,High,Female,Medium,Staff,Research Scientist,High,Married,2366,20898,1,Yes,14,Excellent,Low,1,8,2,Better,8,7,1,7
23.0,Yes,Travel_Rarely,Research & Development,6.0,Bachelor,Life Sciences,High,Male,Very High,Staff,Laboratory Technician,Low,Married,1601,3445,1,Yes,21,Outstanding,High,2,1,2,Better,0,0,0,0
51.0,No,Travel_Rarely,Research & Development,7.0,Master,Medical,Medium,Male,Medium,Officer,Manufacturing Director,High,Married,6132,13983,2,No,17,Excellent,High,0,10,2,Better,1,0,0,0
42.0,No,Travel_Rarely,Research & Development,1.0,College,Life Sciences,Very High,Female,Medium,Officer,Manufacturing Director,Very High,Married,6062,4051,9,Yes,13,Excellent,Very High,1,8,4,Better,4,3,0,2
37.0,No,Travel_Rarely,Research & Development,27.0,Below College,Medical,High,Female,Medium,Staff,Research Scientist,Low,Single,2559,17852,1,No,11,Excellent,Very High,0,6,3,Good,6,5,1,1
37.0,No,Travel_Rarely,Sales,1.0,Bachelor,Marketing,Medium,Male,High,Officer,Sales Executive,High,Married,4717,18659,9,No,11,Excellent,High,0,15,2,Better,11,9,6,9
20.0,Yes,Travel_Rarely,Research & Development,10.0,Below College,Medical,Very High,Male,High,Staff,Research Scientist,High,Single,1009,26999,1,Yes,11,Excellent,Very High,0,1,5,Better,1,0,1,1
37.0,No,Travel_Rarely,Sales,26.0,Bachelor,Life Sciences,High,Male,Medium,Officer,Sales Executive,Low,Married,4724,24232,1,No,11,Excellent,High,1,5,0,Better,5,3,0,4
29.0,No,Travel_Rarely,Research & Development,15.0,Below College,Life Sciences,Medium,Female,Low,Staff,Research Scientist,Very High,Married,2168,26933,0,Yes,18,Excellent,Low,1,6,2,Good,5,4,1,3
43.0,No,Travel_Rarely,Research & Development,12.0,Bachelor,Life Sciences,Low,Male,Medium,Manager,Research Director,Medium,Divorced,14336,4345,1,No,11,Excellent,High,1,25,3,Better,25,10,3,9
40.0,No,Travel_Frequently,Research & Development,26.0,College,Medical,High,Female,Medium,Officer,Research Scientist,Very High,Married,4422,21203,3,Yes,13,Excellent,Very High,1,16,3,Bad,1,1,0,0
29.0,No,Travel_Rarely,Research & Development,6.0,Below College,Medical,Medium,Female,High,Staff,Laboratory Technician,Very High,Married,3131,26342,1,No,13,Excellent,Low,1,10,5,Better,10,8,0,8
46.0,No,Travel_Rarely,Sales,8.0,Bachelor,Technical Degree,Low,Female,Very High,Manager,Sales Executive,Low,Divorced,13225,7739,2,No,12,Excellent,Very High,1,25,5,Better,19,17,2,8
44.0,Yes,Travel_Frequently,Research & Development,1.0,College,Medical,High,Male,High,Staff,Research Scientist,Medium,Divorced,2342,11092,1,Yes,12,Excellent,High,3,6,2,Good,5,3,2,3
47.0,No,Travel_Rarely,Research & Development,2.0,Master,Medical,Low,Female,High,Manager,Research Director,High,Married,17169,26703,3,No,19,Excellent,Medium,2,26,2,Best,20,17,5,6
32.0,No,Travel_Frequently,Research & Development,24.0,Master,Life Sciences,Low,Male,High,Officer,Laboratory Technician,Very High,Married,5309,21146,1,No,15,Excellent,Very High,2,10,2,Better,10,8,4,7
38.0,No,Travel_Rarely,Research & Development,1.0,Below College,Life Sciences,High,Female,High,Staff,Research Scientist,Low,Single,2619,14561,3,No,17,Excellent,Very High,0,8,3,Good,0,0,0,0
51.0,No,Travel_Rarely,Human Resources,8.0,Bachelor,Life Sciences,High,Male,High,Manager,Manager,Medium,Divorced,14026,17588,1,Yes,11,Excellent,Medium,1,33,2,Better,33,9,0,10
58.0,No,Non-Travel,Research & Development,1.0,Master,Life Sciences,Very High,Male,Low,Officer,Healthcare Representative,High,Divorced,5660,17056,2,Yes,13,Excellent,Very High,1,12,2,Better,5,3,1,2
37.0,No,Travel_Rarely,Sales,1.0,Bachelor,Medical,Low,Female,High,Officer,Sales Executive,High,Single,4859,6698,1,No,16,Excellent,Very High,0,5,3,Better,5,4,0,3
45.0,No,Travel_Rarely,Research & Development,29.0,Bachelor,Technical Degree,Medium,Male,High,Assistant Manager,Manufacturing Director,Very High,Married,9380,14720,4,Yes,18,Excellent,Very High,2,10,4,Best,3,1,1,2
56.0,No,Travel_Rarely,Research & Development,9.0,Bachelor,Medical,High,Male,High,Manager,Healthcare Representative,Very High,Married,11103,20420,7,No,11,Excellent,High,0,30,1,Good,10,7,1,1
37.0,No,Travel_Rarely,Research & Development,8.0,Bachelor,Other,Very High,Female,High,Officer,Healthcare Representative,Medium,Single,4107,13848,3,No,15,Excellent,Low,0,8,3,Good,4,3,0,1
37.0,No,Travel_Frequently,Sales,1.0,Master,Medical,High,Male,Low,Officer,Sales Executive,Very High,Divorced,9525,7677,1,No,14,Excellent,High,2,6,2,Good,6,3,1,3
39.0,No,Travel_Rarely,Sales,2.0,Doctor,Life Sciences,Low,Male,Very High,Assistant Manager,Sales Executive,High,Single,7880,2560,0,No,18,Excellent,Very High,0,9,3,Better,8,7,0,7
37.0,No,Travel_Rarely,Research & Development,2.0,Bachelor,Life Sciences,High,Male,Medium,Assistant Manager,Manufacturing Director,Medium,Divorced,10274,19588,2,No,18,Excellent,Medium,1,15,2,Best,7,7,6,4
54.0,No,Travel_Rarely,Sales,2.0,Master,Life Sciences,High,Female,Medium,Assistant Manager,Sales Executive,High,Married,10686,8392,6,No,11,Excellent,Medium,1,13,4,Better,9,4,7,0
32.0,No,Non-Travel,Research & Development,29.0,Master,Medical,Very High,Female,High,Staff,Laboratory Technician,High,Single,4025,11135,9,No,12,Excellent,Medium,0,10,2,Better,8,7,7,7
48.0,No,Travel_Rarely,Sales,29.0,Below College,Medical,Low,Female,High,Assistant Manager,Manager,High,Married,12504,23978,3,No,21,Outstanding,Medium,1,15,3,Bad,0,0,0,0
33.0,No,Travel_Frequently,Research & Development,1.0,Master,Other,High,Female,Very High,Officer,Healthcare Representative,Medium,Married,5488,20161,1,Yes,13,Excellent,Low,1,6,2,Better,6,5,1,2
31.0,Yes,Travel_Rarely,Sales,6.0,Master,Life Sciences,Medium,Male,Low,Officer,Sales Executive,High,Married,6172,20739,4,Yes,18,Excellent,Medium,0,12,3,Good,7,7,7,7
46.0,No,Travel_Rarely,Sales,1.0,College,Marketing,Medium,Female,High,Assistant Manager,Sales Executive,Low,Divorced,10453,2137,1,No,25,Outstanding,High,3,24,2,Better,24,13,15,7
38.0,No,Travel_Rarely,Research & Development,23.0,Master,Life Sciences,Very High,Male,High,Officer,Healthcare Representative,Very High,Divorced,5745,18899,9,No,14,Excellent,Medium,1,10,2,Better,2,2,1,2
38.0,No,Travel_Rarely,Sales,1.0,Master,Life Sciences,Very High,Male,High,Officer,Sales Executive,Medium,Married,4440,7636,0,No,15,Excellent,Low,2,16,3,Better,15,13,5,8
43.0,No,Travel_Rarely,Sales,2.0,Bachelor,Medical,Very High,Male,High,Officer,Sales Executive,Very High,Married,7847,6069,1,Yes,17,Excellent,Low,1,10,3,Better,10,9,8,8
37.0,No,Travel_Frequently,Research & Development,9.0,Bachelor,Medical,Medium,Male,High,Staff,Research Scientist,Very High,Married,2326,11411,1,Yes,12,Excellent,High,3,4,3,Good,4,2,1,2
39.0,Yes,Travel_Rarely,Sales,8.0,College,Medical,Very High,Female,High,Officer,Sales Executive,High,Married,5238,17778,4,Yes,18,Excellent,Low,0,12,3,Good,1,0,0,0
37.0,No,Travel_Rarely,Human Resources,8.0,College,Medical,Medium,Male,Medium,Staff,Human Resources,Very High,Divorced,4936,23965,1,No,13,Excellent,Very High,1,6,6,Better,5,1,0,4
37.0,No,Travel_Frequently,Research & Development,18.0,Master,Life Sciences,High,Male,High,Officer,Healthcare Representative,High,Married,5689,24594,1,Yes,14,Excellent,Very High,2,10,2,Best,10,2,0,2
30.0,No,Travel_Rarely,Research & Development,2.0,Bachelor,Life Sciences,High,Male,Medium,Officer,Healthcare Representative,Very High,Married,4152,15830,1,No,19,Excellent,Low,3,11,3,Better,11,10,10,8
39.0,No,Travel_Rarely,Research & Development,13.0,Master,Medical,High,Female,Medium,Manager,Manager,Medium,Divorced,17123,17334,6,Yes,13,Excellent,Very High,2,21,4,Better,19,9,15,2
43.0,No,Travel_Rarely,Research & Development,6.0,Bachelor,Medical,Low,Female,Medium,Senior Manager,Manager,High,Married,19392,22539,7,No,13,Excellent,Very High,0,21,2,Better,16,12,6,14
27.0,No,Travel_Rarely,Research & Development,7.0,Bachelor,Medical,Very High,Female,Medium,Officer,Healthcare Representative,Low,Single,6811,23398,8,No,19,Excellent,Low,0,9,2,Bad,7,6,0,7
42.0,No,Travel_Rarely,Sales,14.0,College,Medical,High,Female,Medium,Officer,Sales Executive,High,Single,6244,7824,7,No,17,Excellent,Low,0,10,6,Better,5,4,0,3
31.0,No,Travel_Rarely,Research & Development,4.0,Bachelor,Medical,Low,Female,Very High,Staff,Laboratory Technician,High,Divorced,3978,16031,8,No,12,Excellent,Medium,1,4,0,Good,2,2,2,2
39.0,Yes,Travel_Rarely,Research & Development,6.0,Bachelor,Medical,Very High,Male,High,Staff,Laboratory Technician,Low,Married,2404,4303,7,Yes,21,Outstanding,Very High,0,8,2,Bad,2,2,2,2
29.0,No,Travel_Rarely,Research & Development,1.0,Bachelor,Life Sciences,Very High,Female,Medium,Manager,Research Director,Very High,Divorced,16124,3423,3,No,14,Excellent,Medium,2,9,2,Good,7,7,1,7
49.0,No,Travel_Frequently,Research & Development,10.0,Master,Life Sciences,High,Female,High,Senior Manager,Research Director,Low,Single,18665,25594,9,Yes,11,Excellent,Very High,0,22,4,Better,3,2,1,2
38.0,No,Travel_Rarely,Sales,1.0,Bachelor,Life Sciences,Low,Male,Medium,Staff,Sales Representative,Low,Single,2858,11473,4,No,14,Excellent,Low,0,20,3,Good,1,0,0,0
37.0,No,Travel_Rarely,Research & Development,9.0,Master,Medical,Medium,Male,High,Officer,Research Scientist,High,Single,5098,18698,1,No,19,Excellent,Medium,0,10,5,Better,10,7,0,8
42.0,No,Travel_Rarely,Research & Development,23.0,Doctor,Life Sciences,Low,Female,High,Manager,Research Director,Very High,Single,15992,15901,2,No,14,Excellent,Medium,0,16,2,Better,1,0,0,0
31.0,Yes,Travel_Frequently,Research & Development,8.0,Bachelor,Life Sciences,Very High,Female,High,Staff,Research Scientist,High,Single,4084,4156,1,No,12,Excellent,Low,0,7,2,Bad,7,2,7,7
34.0,No,Travel_Rarely,Sales,13.0,Master,Medical,Very High,Male,High,Assistant Manager,Sales Executive,High,Divorced,8628,22914,1,No,18,Excellent,High,1,9,2,Good,8,7,1,1
36.0,No,Travel_Rarely,Research & Development,14.0,Below College,Life Sciences,High,Male,High,Officer,Healthcare Representative,Very High,Married,6586,4821,0,Yes,17,Excellent,Low,1,17,2,Good,16,8,4,11
27.0,No,Travel_Frequently,Sales,8.0,Below College,Marketing,High,Male,High,Officer,Sales Executive,Very High,Married,4342,24008,0,No,19,Excellent,Medium,1,5,3,Better,4,2,1,1
40.0,No,Non-Travel,Sales,28.0,Bachelor,Other,High,Male,Low,Assistant Manager,Sales Executive,Low,Divorced,10932,11373,3,No,15,Excellent,High,1,20,2,Better,1,0,0,1
34.0,No,Travel_Rarely,Sales,1.0,Bachelor,Technical Degree,Very High,Male,Medium,Assistant Manager,Sales Executive,High,Married,7083,12288,1,Yes,14,Excellent,Very High,0,10,3,Better,10,9,8,6
43.0,No,Travel_Rarely,Research & Development,7.0,Bachelor,Life Sciences,High,Female,High,Assistant Manager,Healthcare Representative,Low,Married,9985,9262,8,No,16,Excellent,Low,1,10,1,Good,1,0,0,0
31.0,No,Travel_Rarely,Sales,8.0,College,Life Sciences,Low,Male,High,Assistant Manager,Sales Executive,Very High,Divorced,10793,8386,1,No,18,Excellent,Low,1,13,5,Better,13,7,9,9
41.0,No,Travel_Rarely,Research & Development,1.0,Bachelor,Life Sciences,Very High,Male,High,Staff,Research Scientist,Very High,Married,2782,21412,3,No,22,Outstanding,Low,1,12,3,Better,5,3,1,0
31.0,No,Travel_Frequently,Research & Development,1.0,Bachelor,Life Sciences,Very High,Male,Low,Officer,Research Scientist,Low,Married,5003,5771,1,No,21,Outstanding,Medium,0,10,6,Better,10,8,8,7
45.0,No,Travel_Frequently,Research & Development,1.0,Master,Medical,Medium,Male,High,Officer,Healthcare Representative,High,Single,5399,14511,4,No,12,Excellent,High,0,12,3,Better,4,2,0,3
33.0,No,Travel_Frequently,Sales,10.0,Bachelor,Marketing,Medium,Male,Medium,Officer,Sales Executive,Very High,Single,4682,4317,3,No,14,Excellent,High,0,9,6,Good,7,7,0,1
27.0,No,Travel_Rarely,Research & Development,8.0,Bachelor,Life Sciences,High,Female,High,Staff,Research Scientist,Medium,Single,2478,20938,1,Yes,12,Excellent,Medium,0,4,2,Good,4,3,1,2
36.0,No,Travel_Frequently,Research & Development,23.0,College,Medical,High,Male,Very High,Officer,Laboratory Technician,Very High,Married,2571,12290,4,No,17,Excellent,High,1,17,3,Better,5,2,0,3
33.0,No,Travel_Rarely,Research & Development,21.0,Bachelor,Medical,Medium,Male,Very High,Staff,Laboratory Technician,Medium,Married,2028,13637,1,No,18,Excellent,Very High,3,14,6,Better,14,11,2,13
31.0,No,Travel_Rarely,Research & Development,26.0,Below College,Life Sciences,Low,Male,High,Staff,Research Scientist,High,Divorced,2911,15170,1,No,17,Excellent,Very High,1,5,1,Good,5,2,4,3
19.0,Yes,Travel_Frequently,Sales,1.0,Below College,Technical Degree,High,Female,Low,Staff,Sales Representative,Low,Single,2325,20989,0,No,21,Outstanding,Low,0,1,5,Best,0,0,0,0
32.0,No,Travel_Frequently,Research & Development,7.0,Bachelor,Life Sciences,Medium,Male,Very High,Staff,Laboratory Technician,Medium,Married,2794,26062,1,No,20,Outstanding,High,0,5,3,Bad,5,1,0,3
36.0,No,Non-Travel,Research & Development,18.0,Master,Life Sciences,Low,Male,High,Officer,Manufacturing Director,Very High,Single,7779,23238,2,No,20,Outstanding,Low,0,18,0,Better,11,9,0,9
37.0,No,Travel_Rarely,Human Resources,8.0,College,Other,High,Male,High,Officer,Human Resources,Medium,Divorced,4071,12832,2,No,13,Excellent,High,0,19,4,Good,10,0,4,7
37.0,No,Travel_Rarely,Sales,10.0,Below College,Medical,Very High,Male,High,Staff,Sales Representative,Medium,Married,1052,23384,1,No,22,Outstanding,Medium,0,1,5,Better,1,0,0,0
37.0,No,Travel_Rarely,Sales,28.0,Bachelor,Life Sciences,Low,Male,Medium,Officer,Sales Executive,High,Married,8639,24835,2,No,18,Excellent,Very High,0,6,3,Better,2,2,2,2
29.0,Yes,Travel_Rarely,Research & Development,1.0,College,Life Sciences,Medium,Female,Medium,Staff,Laboratory Technician,Low,Married,2319,6689,1,Yes,11,Excellent,Very High,1,1,1,Better,1,0,0,0
29.0,No,Travel_Rarely,Research & Development,28.0,Master,Life Sciences,High,Female,High,Staff,Research Scientist,Very High,Divorced,2514,26968,4,No,22,Outstanding,Low,1,11,1,Better,7,5,1,7
41.0,No,Non-Travel,Research & Development,7.0,Below College,Life Sciences,Medium,Female,Low,Senior Manager,Research Director,High,Married,19973,20284,1,No,22,Outstanding,Medium,2,21,3,Better,21,16,5,10
30.0,No,Travel_Rarely,Human Resources,9.0,Bachelor,Human Resources,High,Male,High,Officer,Human Resources,Very High,Married,6347,13982,0,Yes,19,Excellent,Very High,0,12,2,Bad,11,9,4,7
39.0,No,Travel_Rarely,Research & Development,10.0,Below College,Medical,High,Male,High,Assistant Manager,Research Director,High,Single,13464,7914,7,No,21,Outstanding,High,0,9,3,Better,4,3,2,2
22.0,Yes,Travel_Rarely,Research & Development,8.0,Below College,Medical,High,Female,High,Staff,Laboratory Technician,Low,Married,2398,15999,1,Yes,17,Excellent,High,0,1,6,Better,1,0,0,0
31.0,No,Non-Travel,Research & Development,1.0,Master,Medical,High,Male,Low,Officer,Manufacturing Director,High,Married,4345,4381,0,No,12,Excellent,Very High,1,6,2,Better,5,4,1,4
45.0,No,Travel_Rarely,Sales,11.0,College,Life Sciences,Very High,Female,High,Manager,Manager,Very High,Married,17650,5404,3,No,13,Excellent,Medium,1,26,4,Best,9,3,1,1
42.0,No,Travel_Frequently,Research & Development,29.0,College,Life Sciences,Low,Female,High,Officer,Research Scientist,High,Divorced,4556,12932,2,No,11,Excellent,Medium,1,19,3,Better,5,4,0,2
31.0,No,Travel_Frequently,Research & Development,7.0,College,Life Sciences,High,Female,Medium,Assistant Manager,Manufacturing Director,High,Married,8943,14034,1,No,24,Outstanding,Low,1,10,2,Better,10,9,8,9
51.0,No,Travel_Rarely,Research & Development,2.0,Bachelor,Medical,Very High,Male,Low,Officer,Manufacturing Director,Medium,Divorced,5482,16321,5,No,18,Excellent,Very High,1,13,3,Better,4,1,1,2
34.0,No,Travel_Frequently,Research & Development,1.0,Bachelor,Medical,Very High,Male,Medium,Officer,Healthcare Representative,Low,Single,5343,25755,0,No,20,Outstanding,High,0,14,3,Better,13,9,4,9
33.0,No,Non-Travel,Sales,17.0,Bachelor,Life Sciences,Very High,Male,High,Manager,Manager,High,Single,17444,20489,1,No,11,Excellent,Very High,0,10,2,Better,10,8,6,0
37.0,No,Travel_Rarely,Sales,7.0,Master,Life Sciences,High,Female,High,Officer,Sales Executive,Very High,Married,5204,13586,1,Yes,11,Excellent,Very High,0,10,2,Better,10,8,0,9
40.0,No,Travel_Rarely,Sales,2.0,College,Marketing,Medium,Female,High,Officer,Sales Executive,Medium,Married,5677,4258,3,No,14,Excellent,High,1,15,4,Better,11,8,5,10
33.0,No,Travel_Rarely,Sales,10.0,Doctor,Marketing,Very High,Male,Very High,Assistant Manager,Sales Executive,High,Divorced,8380,21708,0,Yes,14,Excellent,Very High,2,10,3,Better,9,8,0,8
34.0,No,Travel_Rarely,Sales,9.0,Below College,Life Sciences,Medium,Female,High,Officer,Sales Executive,High,Married,5714,5829,1,No,20,Outstanding,Low,0,6,3,Good,6,5,1,3
34.0,No,Travel_Rarely,Research & Development,1.0,Doctor,Life Sciences,Medium,Male,High,Staff,Research Scientist,Very High,Married,2691,7660,1,No,12,Excellent,Very High,1,10,4,Good,10,9,8,8
30.0,No,Travel_Rarely,Research & Development,8.0,College,Life Sciences,Medium,Female,Very High,Assistant Manager,Research Director,Low,Married,11416,17802,0,Yes,12,Excellent,High,3,9,4,Good,8,7,1,7
33.0,No,Travel_Frequently,Research & Development,8.0,Master,Life Sciences,Very High,Female,High,Staff,Research Scientist,High,Married,2909,23159,1,Yes,11,Excellent,High,0,8,3,Better,8,7,3,0
45.0,No,Non-Travel,Research & Development,23.0,College,Life Sciences,Very High,Male,High,Officer,Laboratory Technician,Low,Married,3633,14039,1,Yes,15,Excellent,High,1,9,2,Better,9,8,0,8
37.0,No,Non-Travel,Sales,9.0,Master,Medical,Low,Male,High,Assistant Manager,Sales Executive,Medium,Divorced,8834,24666,1,No,13,Excellent,Very High,1,9,6,Better,9,5,7,7
31.0,No,Travel_Rarely,Sales,7.0,Bachelor,Marketing,Very High,Male,High,Officer,Sales Executive,Very High,Divorced,7547,7143,4,No,12,Excellent,Very High,3,13,3,Better,7,7,1,7
32.0,No,Travel_Frequently,Research & Development,2.0,College,Life Sciences,Very High,Male,High,Staff,Laboratory Technician,Very High,Single,3068,11864,0,No,13,Excellent,High,0,8,2,Good,7,7,3,6
37.0,No,Travel_Rarely,Research & Development,1.0,Bachelor,Technical Degree,Very High,Male,High,Staff,Research Scientist,Low,Single,2080,4732,2,No,11,Excellent,Medium,0,5,2,Good,3,2,1,2
37.0,No,Travel_Rarely,Research & Development,2.0,Below College,Medical,Low,Male,Medium,Staff,Research Scientist,Very High,Single,3904,4050,0,No,12,Excellent,Very High,0,5,2,Better,4,3,1,1
30.0,Yes,Travel_Rarely,Research & Development,22.0,Bachelor,Life Sciences,Low,Female,High,Staff,Research Scientist,High,Married,2132,11539,4,Yes,11,Excellent,Medium,0,7,2,Better,5,2,0,1
33.0,No,Travel_Frequently,Sales,1.0,Bachelor,Life Sciences,High,Female,Very High,Officer,Sales Executive,Low,Married,5376,3193,2,No,19,Excellent,Low,2,10,3,Better,5,3,1,3
38.0,No,Travel_Rarely,Research & Development,1.0,Bachelor,Life Sciences,High,Female,High,Assistant Manager,Manufacturing Director,High,Single,7861,15397,4,Yes,14,Excellent,Very High,0,10,4,Best,1,0,0,0
41.0,No,Travel_Rarely,Research & Development,19.0,College,Life Sciences,High,Male,High,Officer,Research Scientist,Low,Divorced,3072,19877,2,No,16,Excellent,Low,2,17,2,Good,1,0,0,0
